Date,Value
2016-08-04,22.42
2016-08-05,22.71
2016-08-06,22.26
2016-08-07,22.14
2016-08-08,22.24
2016-08-09,22.88
2016-08-10,22.84
2016-08-11,22.43
2016-08-12,23.39
2016-08-13,22.12
2016-08-14,22.08
2016-08-15,22.39
2016-08-16,22.13
2016-08-17,22.45
2016-08-18,22.27
2016-08-19,23.01
2016-08-20,22.01
2016-08-21,22.72
2016-08-22,22.32
2016-08-23,22.47
2016-08-24,22.14
2016-08-25,21.66
2016-08-26,22.06
2016-08-27,22.08
2016-08-28,22.33
2016-08-29,22.5
2016-08-30,21.97
2016-08-31,22.38
2016-09-01,22.35
2016-09-02,21.83
2016-09-03,22.18
2016-09-04,23.12
2016-09-05,22.3
2016-09-06,22.01
2016-09-07,22.09
2016-09-08,22.63
2016-09-09,21.96
2016-09-10,22.52
2016-09-11,23.22
2016-09-12,23.19
2016-09-13,22.17
2016-09-14,21.85
2016-09-15,22.08
2016-09-16,21.91
2016-09-17,22.35
2016-09-18,22.72
2016-09-19,22.46
2016-09-20,22.11
2016-09-21,21.88
2016-09-22,22
2016-09-23,36.52
2016-09-24,33.23
2016-09-25,38.65
2016-09-26,43.19
2016-09-27,35.88
2016-09-28,31.05
2016-09-29,30.52
2016-09-30,29.82
2016-10-01,27.85
2016-10-02,29.27
2016-10-03,28.92
2016-10-04,25.72
2016-10-05,25.2
2016-10-06,23.38
2016-10-07,23.15
2016-10-08,23.38
2016-10-09,24.29
2016-10-10,23.81
2016-10-11,24.29
2016-10-12,26.04
2016-10-13,74.51
2016-10-14,47.49
2016-10-15,67.02
2016-10-16,64.86
2016-10-17,62.92
2016-10-18,56.11
2016-10-19,26.73
2016-10-20,28.39
2016-10-21,27.33
2016-10-22,25.57
2016-10-23,27.19
2016-10-24,26.74
2016-10-25,25.47
2016-10-26,24.77
2016-10-27,25.34
2016-10-28,26.39
2016-10-29,26.93
2016-10-30,25.71
2016-10-31,24.96
2016-11-01,27.31
2016-11-02,24.48
2016-11-03,24.96
2016-11-04,23.95
2016-11-05,24.2
2016-11-06,24.06
2016-11-07,24.56
2016-11-08,24.36
2016-11-09,25.67
2016-11-10,24.7
2016-11-11,28.89
2016-11-12,25.24
2016-11-13,25.17
2016-11-14,24.97
2016-11-15,24.59
2016-11-16,24.75
2016-11-17,24.33
2016-11-18,24.78
2016-11-19,24.37
2016-11-20,24.3
2016-11-21,24.83
2016-11-22,23.33
2016-11-23,24.57
2016-11-24,27.98
2016-11-25,24.44
2016-11-26,24.64
2016-11-27,25.26
2016-11-28,25.73
2016-11-29,25.16
2016-11-30,23.38
2016-12-01,22.79
2016-12-02,23.1
2016-12-03,22.83
2016-12-04,22.64
2016-12-05,23.61
2016-12-06,23.64
2016-12-07,23.37
2016-12-08,939.59
2016-12-09,22.95
2016-12-10,22.76
2016-12-11,23.1
2016-12-12,23.6
2016-12-13,22.65
2016-12-14,22.62
2016-12-15,23.09
2016-12-16,22.99
2016-12-17,23.6
2016-12-18,23.99
2016-12-19,23.12
2016-12-20,24.12
2016-12-21,23.59
2016-12-22,20.48
2016-12-23,21.89
2016-12-24,22.91
2016-12-25,22.74
2016-12-26,22.81
2016-12-27,23.15
2016-12-28,22.82
2016-12-29,23.05
2016-12-30,22.84
2016-12-31,22.45
2017-01-01,22.5
2017-01-02,22.99
2017-01-03,23.22
2017-01-04,23.04
2017-01-05,22.94
2017-01-06,23.01
2017-01-07,22.84
2017-01-08,23
2017-01-09,23.09
2017-01-10,22.53
2017-01-11,22.68
2017-01-12,23.04
2017-01-13,22.12
2017-01-14,22.41
2017-01-15,22.42
2017-01-16,22.4
2017-01-17,22.74
2017-01-18,22.42
2017-01-19,22.23
2017-01-20,22.37
2017-01-21,22.41
2017-01-22,22.12
2017-01-23,22.27
2017-01-24,22.08
2017-01-25,22.33
2017-01-26,22.48
2017-01-27,22.45
2017-01-28,22.22
2017-01-29,22.39
2017-01-30,22.23
2017-01-31,23.01
2017-02-01,22.54
2017-02-02,22.62
2017-02-03,22.51
2017-02-04,22.62
2017-02-05,22.33
2017-02-06,22.49
2017-02-07,22.38
2017-02-08,22.77
