,ds,yhat,yhat_lower,yhat_upper,y,cutoff
401,2022-05-29,58.29206459242984,-4.666006745532385,115.61370853651015,24.16,2022-05-28
402,2022-05-30,64.3213700260136,5.775499752604129,121.81075271420745,37.96,2022-05-29
403,2022-05-31,64.3983763469382,5.74440090368236,123.44764078254317,56.55,2022-05-30
404,2022-06-01,66.90622081159889,6.320148353169173,121.50453534808528,60.06,2022-05-31
405,2022-06-02,70.60022607804001,10.607653336358933,132.23162810634528,64.71,2022-06-01
406,2022-06-03,63.361627885361585,2.2183127007143826,122.29206597130073,64.57,2022-06-02
407,2022-06-04,58.41224114652191,1.1485780624410227,115.8760960562745,62.97,2022-06-03
408,2022-06-05,56.59542916127711,-5.342207376236019,114.19193040923773,59.37,2022-06-04
409,2022-06-06,63.94174473660078,6.430763935112468,125.09935873458473,57.52,2022-06-05
410,2022-06-07,64.24264256811801,10.879535083625411,126.85609488087681,61.93,2022-06-06
411,2022-06-08,65.76909231996665,2.908565231281161,123.71158735462645,75.58,2022-06-07
412,2022-06-09,69.17238344918627,15.165223868078295,129.1602487114516,76.1,2022-06-08
413,2022-06-10,64.07877757406338,4.5618756658260065,122.93312531685393,59.14,2022-06-09
414,2022-06-11,58.12035541340562,-4.014997385855944,116.38172837163081,41.38,2022-06-10
415,2022-06-12,56.42205762434814,-3.9317670275557957,120.13273768380786,38.72,2022-06-11
416,2022-06-13,61.92543051348838,8.431637724896369,123.18636507169943,95.86,2022-06-12
417,2022-06-14,64.30367228702899,2.258378513489134,128.8572969591293,66.78,2022-06-13
418,2022-06-15,66.46399033607368,9.567566411248952,128.504028439679,72.23,2022-06-14
419,2022-06-16,69.00228240665365,11.678086500123888,129.48463877906016,45.18,2022-06-15
420,2022-06-17,62.88347716579653,4.908255183038574,119.30745745949326,45.6,2022-06-16
421,2022-06-18,56.94443836220685,-6.266244366598885,114.86844797928848,55.86,2022-06-17
422,2022-06-19,55.37483448366968,0.34789847569374677,114.94401509896889,32.65,2022-06-18
423,2022-06-20,61.31497973738661,0.4397413349430196,119.95520709131281,31.38,2022-06-19
424,2022-06-21,62.06381066735582,5.444153116241027,122.61301054156161,43.46,2022-06-20
425,2022-06-22,64.4752199121206,3.6203095195007218,123.2220357524643,39.68,2022-06-21
426,2022-06-23,65.78456914123846,2.2775755893771503,126.9183566201877,55.29,2022-06-22
427,2022-06-24,60.3949099935599,2.9729239648025736,119.97913768064953,47.63,2022-06-23
428,2022-06-25,54.638622381136145,-5.8979173297376155,112.58773603100593,39.06,2022-06-24
429,2022-06-26,52.28462652829565,-10.907190218981988,111.83217247348259,40.52,2022-06-25
430,2022-06-27,58.52735014433652,-2.359798146023542,118.169165142412,54.1,2022-06-26
431,2022-06-28,58.6390806062643,-1.1809793351107112,116.40963302075276,50.4,2022-06-27
432,2022-06-29,61.62398559150938,0.3226707087372972,123.79218307423174,63.29,2022-06-28
433,2022-06-30,62.72188426821238,-1.2693022331801493,116.94346456924957,56.51,2022-06-29
434,2022-07-01,57.85707974758073,-3.0271563180448777,116.08082374280532,35.55,2022-06-30
435,2022-07-02,51.09608732717584,-4.8126036407291455,111.44003192059031,19.37,2022-07-01
436,2022-07-03,48.36999450467794,-13.759290743136244,106.24653663194705,21.18,2022-07-02
437,2022-07-04,54.013853354887566,-6.925691871043295,115.01804897829298,26.86,2022-07-03
438,2022-07-05,54.080797560325905,-8.387480706015005,113.75334382393407,33.13,2022-07-04
439,2022-07-06,55.65496991474684,-4.088731118756648,115.00341410198224,34.03,2022-07-05
440,2022-07-07,57.76617497381532,2.2503442605649577,114.074915802699,40.76,2022-07-06
441,2022-07-08,51.13325822969482,-6.031517486982621,114.51815730075994,30.26,2022-07-07
442,2022-07-09,44.588722486607175,-13.878272853190804,105.29280756738511,29.51,2022-07-08
443,2022-07-10,42.938982575626525,-17.317565434846927,105.10597641674015,21.04,2022-07-09
444,2022-07-11,48.8825980203563,-12.825723871917514,106.15874514166268,32.31,2022-07-10
445,2022-07-12,48.90043386993398,-12.390249556696626,106.13641106103708,27.74,2022-07-11
446,2022-07-13,50.19319976859798,-7.953119700858314,106.36419898294632,34.35,2022-07-12
447,2022-07-14,51.75681930738513,-7.005247545890446,113.07839686881383,36.73,2022-07-13
448,2022-07-15,46.99223909849481,-8.793123978313645,107.32081464347955,34.77,2022-07-14
449,2022-07-16,40.540598992542186,-14.001465843547853,99.441154144608,26.05,2022-07-15
450,2022-07-17,39.06949797179034,-20.21619006779863,99.52322516149803,24.91,2022-07-16
451,2022-07-18,45.49313917081221,-12.5099145095249,104.77227695916218,35.14,2022-07-17
452,2022-07-19,46.77654720848868,-15.5851269359479,107.83858834529833,35.59,2022-07-18
453,2022-07-20,49.136447676468,-8.637272310007772,115.07237004795232,34.13,2022-07-19
454,2022-07-21,51.540223996247875,-4.923021500383804,109.6920628685903,24.47,2022-07-20
455,2022-07-22,45.93073885796309,-11.300828157788947,103.41077454030687,19.1,2022-07-21
456,2022-07-23,41.43908397850244,-18.380552906368404,99.86400486131903,15.79,2022-07-22
457,2022-07-24,39.634661059527744,-20.392283726708115,100.73077888741952,13.69,2022-07-23
458,2022-07-25,47.78169566759407,-11.920786772760877,108.62284298206855,23.75,2022-07-24
459,2022-07-26,49.34920538266927,-12.981320765743586,109.4944986556753,27.64,2022-07-25
460,2022-07-27,53.82161486174626,-4.890177772021436,109.59266581932977,23.57,2022-07-26
461,2022-07-28,55.868236250216114,-0.45197612140778204,113.55438943243904,27.01,2022-07-27
462,2022-07-29,51.71747291081713,-7.263302274937086,109.89301519914802,19.42,2022-07-28
463,2022-07-30,47.929023147884585,-9.603372490838101,105.75390816593931,12.28,2022-07-29
464,2022-07-31,47.84946608946824,-10.232542183158007,108.97442688980601,11.54,2022-07-30
465,2022-08-01,55.79376075733552,-1.3039933394512173,115.01717756380216,23.58,2022-07-31
466,2022-08-02,57.72921121248376,2.327062107761625,115.37449209662988,17.45,2022-08-01
467,2022-08-03,61.151147087258735,4.967820196002529,117.90116905342965,15.73,2022-08-02
468,2022-08-04,65.85355095808585,5.938885356042996,125.45282314645947,17.1,2022-08-03
469,2022-08-05,61.168628140174285,1.7553738901670348,121.24030569946628,17.14,2022-08-04
470,2022-08-06,56.642630789978334,-1.4526359361268084,114.0301529814401,11.79,2022-08-05
471,2022-08-07,56.541585869803185,-4.103765088391989,117.18169281134838,12.46,2022-08-06
472,2022-08-08,64.35855536479478,6.176482312388921,124.88729036402162,20.89,2022-08-07
473,2022-08-09,66.83542051039893,6.777457952866292,126.44045684232441,22.44,2022-08-08
474,2022-08-10,69.56432444268526,4.221580972446896,123.073629973205,32.79,2022-08-09
475,2022-08-11,72.55389701032006,10.037529502454175,131.2145562856831,26.96,2022-08-10
476,2022-08-12,68.77342329835355,9.394819035207579,127.48712563970524,20.74,2022-08-11
477,2022-08-13,63.019452981478224,4.5413383667054275,120.68300977051624,13.44,2022-08-12
478,2022-08-14,62.86300030222851,-2.385818506671422,123.19887865748407,14.34,2022-08-13
479,2022-08-15,69.2976160769199,8.078129419266443,131.90666958521052,25.49,2022-08-14
480,2022-08-16,70.01523914689797,16.180630275670698,133.44267487543513,15.52,2022-08-15
481,2022-08-17,72.51556148790381,11.817673813475754,134.3889532476214,15.84,2022-08-16
482,2022-08-18,74.83206093344717,13.650101790729146,133.89363058937533,15.53,2022-08-17
483,2022-08-19,69.67295629182496,14.119676637729516,129.31629797142602,21.37,2022-08-18
484,2022-08-20,63.89144894744194,6.334966559963057,125.6518949267553,14.31,2022-08-19
485,2022-08-21,61.85672394475447,4.664427701781567,116.18274091406936,10.78,2022-08-20
486,2022-08-22,67.30595683183998,10.62758622522785,123.79423342688501,18.07,2022-08-21
487,2022-08-23,67.85605601733117,11.458297566854785,129.60601516548203,16.51,2022-08-22
488,2022-08-24,69.51554690075685,8.401943094659861,127.70438360734893,15.7,2022-08-23
489,2022-08-25,70.77703110929191,10.829515590804506,130.72907786130276,20.9,2022-08-24
490,2022-08-26,64.81580497663978,6.771164992194,119.55452073213044,18.11,2022-08-25
491,2022-08-27,58.755799567425626,1.6639745003881303,115.76957928040503,11.73,2022-08-26
492,2022-08-28,56.21700000565677,-3.970052590403119,117.18406047044114,11.33,2022-08-27
493,2022-08-29,61.88008073640814,3.0510305192756455,117.93392213899321,19.47,2022-08-28
494,2022-08-30,62.43353331700561,-0.9332660804603641,122.35086746563925,23.71,2022-08-29
495,2022-08-31,64.60875552404565,5.073806053813889,124.12796436023176,26.14,2022-08-30
496,2022-09-01,66.05313947581216,5.363108323203129,125.61369656014152,23.61,2022-08-31
497,2022-09-02,60.24121593166214,2.118836844777824,116.82120505454901,17.1,2022-09-01
498,2022-09-03,53.226931266431805,-3.6462682164027416,114.11585098585499,10.16,2022-09-02
499,2022-09-04,51.25920982790793,-7.631060303771414,110.03616844693411,11.43,2022-09-03
500,2022-09-05,57.595317528467355,-3.8643974829197965,120.19482227919596,14.62,2022-09-04
501,2022-09-06,58.38540638147052,1.9571523798194403,117.04038484078315,19.27,2022-09-05
502,2022-09-07,60.54001458335313,6.2887730268950275,118.4652523224655,24.17,2022-09-06
503,2022-09-08,62.427110960399496,6.198522919249491,116.20451713683781,27.02,2022-09-07
504,2022-09-09,56.9461837157266,-3.9768160325480957,117.94371520333172,25.47,2022-09-08
505,2022-09-10,50.462688776045695,-9.828370962562927,110.91773858020333,15.15,2022-09-09
506,2022-09-11,49.435965893492636,-6.581811738238073,107.62750610305018,13.28,2022-09-10
507,2022-09-12,55.35801234918202,-5.831507448971687,116.98551537739311,21.39,2022-09-11
508,2022-09-13,56.235270902961446,0.8225186710861387,118.14468866385805,23.61,2022-09-12
509,2022-09-14,58.21764110585225,-2.6970846881906874,117.09865434495109,17.08,2022-09-13
510,2022-09-15,59.336061026200966,2.5421579538176076,120.59025848926096,23.1,2022-09-14
511,2022-09-16,54.054664920445674,-4.784396975680865,112.73114461365127,13.92,2022-09-15
512,2022-09-17,47.760767890765734,-12.916489086058847,107.60724808632447,8.871,2022-09-16
