2023-03-30,26.32563591,27.8809108734,29.7260875702
2023-04-06,25.8901939392,28.3711872101,31.1178894043
2023-04-13,27.9348564148,31.1500263214,34.6368865967
2023-04-20,23.2132663727,25.8699951172,29.5636901855
2023-04-27,23.0524845123,24.8437461853,27.3434238434
2023-05-04,25.191734314,27.3785800934,30.1320228577
2023-05-11,25.2874488831,26.854133606,29.2679042816
2023-05-18,22.8726730347,24.3513374329,26.5217151642
2023-05-25,20.8970394135,22.0364875793,23.4804039001
2023-06-01,23.6241970062,25.0594158173,26.1729640961
2023-06-08,24.2978610992,25.7569847107,26.7852878571
2023-06-15,21.9668178558,23.0791873932,23.9488201141
2023-06-22,17.6462173462,18.9470405579,20.0803909302
2023-06-29,16.6656246185,17.733045578,18.9791603088
2023-07-06,17.6997737885,19.4197292328,21.1086444855
2023-07-13,17.8750972748,19.6149101257,21.362859726
2023-07-20,18.4440517426,20.2290878296,22.08111763
2023-07-27,19.4322681427,20.8625278473,22.3544578552
2023-08-03,21.3241634369,22.7875823975,24.0331192017
2023-08-10,21.1045322418,23.2231006622,24.746553421
2023-08-17,22.7014350891,24.092042923,25.4169578552
2023-08-24,21.4901733398,22.7107982635,23.7262535095
2023-08-31,23.856967926,25.4537143707,26.630689621
2023-09-07,22.4274482727,23.9834537506,26.5186023712
2023-09-14,21.215265274,22.9578933716,24.4678649902
2023-09-21,22.7567501068,25.0113887787,27.3549633026
2023-09-28,19.8734359741,21.8819179535,24.8901596069
2023-10-05,18.6615505219,22.3235588074,26.5923881531
2023-10-12,16.932182312,21.9629535675,25.235294342
2023-10-19,18.5492515564,21.4541549683,25.0391159058
2023-10-26,18.1433792114,20.0596656799,23.5055828094
2023-11-02,17.2757263184,20.4156970978,23.7178688049
2023-11-09,17.6982269287,20.2513484955,24.5360183716
2023-11-16,18.2493743896,20.2240810394,23.5904846191
2023-11-23,18.1580924988,20.2609977722,22.442697525
2023-11-30,18.3165836334,20.2420005798,21.9673538208
2023-12-07,18.2392120361,20.5713062286,23.339214325
2023-12-14,18.6526794434,20.8984355927,22.7444896698
2023-12-21,18.8272304535,20.3380489349,21.93126297
2023-12-28,18.5603866577,19.7218856812,21.3625736237
2024-01-04,17.9436511993,19.5271110535,21.8456325531
2024-01-11,17.9854030609,19.404291153,21.2627830505
2024-01-18,17.3382320404,18.9132175446,20.217716217
2024-01-25,17.8247051239,19.0537338257,20.1910495758
2024-02-01,18.5463066101,19.4751796722,21.0063896179
2024-02-08,20.6481800079,21.7393665314,23.3455295563
2024-02-15,19.0567817688,20.3775539398,22.2517585754
2024-02-22,20.1220588684,21.8402919769,23.581735611
2024-02-29,17.615688324,19.561876297,20.8890476227
2024-03-07,17.1390953064,19.0886383057,20.9055118561
2024-03-14,17.3162384033,20.4020137787,22.7875709534
2024-03-21,18.1204013824,20.7378749847,22.9113483429
2024-03-28,18.353307724,20.6418170929,24.1699085236
